hash_inn,y,probability
130273,12,0.32181224
205011,12,0.447951
27440,12,0.223043
34209,12,0.223043
260191,12,0.41608837
93892,12,0.36741728
7607,34,0.24287646
156766,34,0.17617731
98648,34,0.24287646
162395,34,0.24287646
11684,12,0.17691728
86932,12,0.17761053
244309,12,0.18855871
236906,12,0.1621135
227314,34,0.21280125
32242,34,0.21280125
208124,34,0.21280125
136670,12,0.24906953
131786,12,0.20279393
250410,34,0.21280125
159681,12,0.19620472
29748,14,0.231741
78761,12,0.23048438
192321,12,0.18121204
257128,4,0.22670642
12855,12,0.18354245
152152,34,0.13718505
133081,14,0.21204264
51099,2,0.62329435
146918,12,0.19819821
46174,34,0.13718505
184124,14,0.23290098
84768,12,0.15845393
69155,14,0.2950863
84816,12,0.4764613
39335,14,0.18202092
183380,14,0.16133437
53171,12,0.32933375
168010,12,0.19853938
247247,12,0.36221206
154675,20,0.3264021
50745,34,0.13718505
12349,37,0.49570784
86785,12,0.1758544
241595,12,0.2598488
83687,34,0.13718505
33424,34,0.16351508
185155,12,0.17162856
104317,12,0.41091135
221720,34,0.13718505
23072,12,0.15066938
25271,14,0.30116284
249104,34,0.13718505
71434,12,0.16367948
38046,12,0.18003753
126615,34,0.13718505
258008,12,0.17470089
81383,12,0.20975204
131897,12,0.18887965
145349,34,0.13718505
128906,12,0.18748058
104238,12,0.18560815
52703,34,0.13718505
92914,14,0.41140327
168276,12,0.19904228
45961,34,0.13718505
122027,34,0.13718505
11800,34,0.13718505
94800,34,0.13718505
162856,34,0.13718505
244071,12,0.16975643
130914,12,0.31504172
100583,12,0.3588006
94841,34,0.13718505
110414,12,0.15428135
12453,12,0.20014372
203805,34,0.14712869
40864,34,0.13718505
19288,12,0.18017772
48573,12,0.4123936
43744,12,0.27195674
160714,12,0.45147783
30321,12,0.40056327
120393,12,0.35818246
132557,12,0.30890617
145160,12,0.21639274
14082,12,0.27195674
184174,12,0.37415808
78820,12,0.4981651
200445,12,0.267286
80191,26,0.17816995
257681,12,0.19508669
129722,34,0.1609927
104877,12,0.26640257
217392,34,0.1609927
144620,12,0.49370095
207731,12,0.25670564
86578,14,0.108244024
188339,12,0.1294604
152493,12,0.26270944
100691,12,0.26861936
198285,12,0.3771528
113623,12,0.29091656
208770,12,0.50232005
43522,12,0.2576446
79774,12,0.31577328
105243,12,0.2650215
159692,12,0.29126805
31765,14,0.19593702
123602,14,0.21312964
145337,14,0.3834491
71213,12,0.21348359
42664,14,0.2569904
122195,14,0.21312964
211290,14,0.17046364
169761,12,0.69057494
46175,14,0.17803891
203215,12,0.18001813
207343,14,0.21312964
28907,12,0.32773077
54821,12,0.23946694
187582,12,0.27939492
134719,14,0.21312964
145920,14,0.21312964
88797,12,0.16932222
160526,14,0.21312964
109894,14,0.21312964
102984,14,0.18079324
181905,12,0.22061023
36555,34,0.18331735
126699,12,0.3154924
94084,12,0.26069322
180469,12,0.26069322
73226,12,0.26069322
40292,12,0.35020924
193815,12,0.5627763
144960,12,0.94818825
224995,12,0.57868147
112711,12,0.37494096
27008,12,0.3683801
119148,12,0.35020924
176307,12,0.36035058
60588,12,0.3135089
114692,12,0.23219219
32537,12,0.36268997
27006,12,0.23219219
31097,12,0.31304482
30975,12,0.23219219
117517,12,0.23219219
119223,12,0.23219219
5436,12,0.3282511
60255,12,0.2626032
45793,12,0.19330917
141887,34,0.16768527
55308,12,0.2034017
158670,34,0.16768527
198889,12,0.16743535
160555,34,0.16768527
170469,14,0.31366038
107743,12,0.17252177
180101,34,0.16768527
90644,34,0.16768527
29365,12,0.29677966
28481,34,0.16768527
128077,34,0.16768527
129754,34,0.16768527
109513,14,0.34322268
61261,12,0.2214705
10958,12,0.38749754
251918,12,0.27926275
104413,12,0.17900066
125069,12,0.27616775
18342,12,0.27616775
51062,12,0.538084
11019,12,0.37419543
209356,12,0.18177469
7419,12,0.35869446
59989,12,0.18177469
51266,12,0.18177469
233845,12,0.3314694
244722,12,0.18177469
184310,12,0.18177469
248149,12,0.31632525
225158,12,0.56325924
240814,12,0.18177469
178584,12,0.38107473
21315,12,0.18177469
258259,12,0.18786564
60666,12,0.219378
110094,12,0.1773626
